timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,Tz_weighted,supply_t_original,source,Tz_weighted_ema
1997-01-01 00:00:00+00:00,32.374249999999996,62.3835,443.8333333333333,0.0,1.0,43.916666666666664,28.017166666666668,71.23908333333334,0.0,955.805,0.0,0.0,32.066583333333334,67.242,463.0833333333333,0.0,1.0,53.25,31.598416666666665,70.60291666666667,5920.333333333333,0.0,1.9166666666666667,78.58333333333333,32.03691666666666,69.46375,475.3333333333333,0.0,1.1666666666666667,59.166666666666664,31.871416666666665,66.2175,460.5,0.0,1.0,51.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.948241666666664,,Idle[1],29.948241666666664
1997-01-01 00:01:00+00:00,32.36966666666667,62.22483333333333,464.1666666666667,0.0,1.1666666666666667,53.916666666666664,28.017583333333334,71.03791666666667,0.0,955.808,0.0,0.0,32.05458333333333,66.86266666666667,448.9166666666667,0.0,1.0,46.0,31.627708333333334,67.31558333333334,585.1666666666666,0.0,2.25,180.41666666666666,32.018750000000004,69.32616666666667,470.0833333333333,0.0,1.0833333333333333,56.583333333333336,31.876666666666665,66.08158333333334,472.5833333333333,0.0,1.3333333333333333,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.950708333333335,,Idle[1],29.94848833333333
1997-01-01 00:02:00+00:00,32.42166666666667,62.336749999999995,477.8333333333333,0.0,1.3333333333333333,60.833333333333336,28.014666666666667,70.91066666666667,0.0,955.81475,0.0,0.0,32.043083333333335,66.84058333333333,448.0,0.0,1.0,45.666666666666664,31.619,70.075,523.4166666666666,0.0,2.0,84.91666666666667,32.00658333333333,69.08325,460.1666666666667,0.0,1.0,51.583333333333336,31.877916666666668,66.2925,489.9166666666667,0.0,1.6666666666666667,66.91666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.944058333333334,,Idle[1],29.948045333333333
1997-01-01 00:03:00+00:00,32.477666666666664,62.29241666666667,514.5833333333334,0.0,1.75,80.5,28.017583333333334,70.76216666666666,0.0,955.82425,0.0,0.0,32.04233333333333,66.6535,450.4166666666667,0.0,1.0,46.75,31.607,69.99058333333333,534.75,0.0,2.0,91.66666666666667,31.99666666666667,69.1305,489.5,0.0,1.6666666666666667,66.66666666666667,31.874333333333336,66.02483333333333,475.25,0.0,1.1666666666666667,59.416666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.942891666666668,,Idle[1],29.947529966666668
1997-01-01 00:04:00+00:00,32.42166666666667,62.33441666666667,497.6666666666667,0.0,1.6666666666666667,71.08333333333333,28.020083333333332,70.57525,0.0,955.8305833333334,0.0,0.0,32.02225,66.57350000000001,448.5,0.0,1.0,46.083333333333336,31.606666666666666,69.94033333333333,530.1666666666666,0.0,2.0,88.91666666666667,31.988666666666663,69.20266666666667,498.25,0.0,1.9166666666666667,71.25,31.866583333333335,66.10408333333334,481.25,0.0,1.5,62.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.93805,,Idle[1],29.946581970000004
1997-01-01 00:05:00+00:00,32.39658333333333,62.915083333333335,486.25,0.0,1.5,65.25,28.018,70.36233333333332,0.0,955.8063333333333,0.0,0.0,32.01508333333334,66.57875,460.5833333333333,0.0,1.0,51.916666666666664,31.59466666666667,69.88608333333333,547.5833333333334,0.0,2.0,99.0,31.981916666666667,69.45991666666667,501.75,0.0,2.0,73.08333333333333,31.85825,66.20466666666665,485.1666666666667,0.0,1.4166666666666667,64.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.932458333333333,,Idle[1],29.945169606333337
1997-01-01 00:06:00+00:00,32.32583333333333,62.99100000000001,449.6666666666667,0.0,1.3333333333333333,45.333333333333336,28.022583333333333,70.21849999999999,0.0,955.8088333333334,0.0,0.0,32.00933333333334,66.64008333333334,466.5833333333333,0.0,1.0833333333333333,54.833333333333336,31.31425,69.94066666666667,561.3333333333334,0.0,2.0,107.41666666666667,31.50075,70.40308333333333,549.6666666666666,0.0,2.0,101.58333333333333,31.233083333333337,67.27233333333334,484.4166666666667,0.0,1.3333333333333333,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.333333333333332,0.0,0.0,0.0,0.0,29.876941666666667,,Idle[1],29.93834681236667
1997-01-01 00:07:00+00:00,32.19925,63.06674999999999,450.5,0.0,1.1666666666666667,47.333333333333336,28.02633333333333,70.31125,0.0,955.8124166666666,0.0,0.0,31.997500000000002,66.623,459.3333333333333,0.0,1.9166666666666667,51.416666666666664,30.925916666666666,68.17033333333333,5965.666666666667,0.0,2.0,114.41666666666667,28.958916666666667,58.33775,406.75,0.0,1.0,11.166666666666666,29.044666666666668,73.61641666666667,464.4166666666667,0.0,1.0833333333333333,53.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,29.7976,,Idle[1],29.924272131130003
1997-01-01 00:08:00+00:00,32.08433333333333,63.61916666666667,412.8333333333333,0.0,1.0,27.166666666666668,28.0205,69.16591666666666,0.0,955.773,0.0,0.0,31.960333333333335,65.92591666666667,451.1666666666667,0.0,1.0,47.416666666666664,31.450916666666668,68.41816666666666,568.9166666666666,0.0,2.0,112.41666666666667,27.25791666666667,52.9595,400.0,0.0,1.0,6.083333333333333,28.46258333333333,73.21558333333333,434.0,0.0,1.0,39.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,29.88853333333333,,Idle[1],29.920698251350338
1997-01-01 00:09:00+00:00,32.11291666666667,63.56316666666667,450.0,0.0,1.1666666666666667,46.75,27.992583333333332,66.59508333333333,0.0,955.7500833333334,0.0,0.0,31.91541666666667,63.25833333333333,423.8333333333333,0.0,1.0,34.25,31.461916666666667,67.21275,564.8333333333334,0.0,2.0,109.5,26.25425,52.58516666666667,400.0,0.0,1.0,7.833333333333333,28.254,71.17475,422.8333333333333,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,29.8633,,Idle[1],29.914958426215303
