minute,mass_flow_kg_s,supply_t
0,0.07025624999999999,19.125
1,0.07025624999999999,18.464178082191783
2,0.07025624999999999,17.996
3,0.07025624999999999,17.80123287671233
4,0.07025624999999999,17.850794520547943
5,0.07025624999999999,17.235
6,0.07025624999999999,17.216753424657533
7,0.07025624999999999,20.697863013698633
8,0.07025624999999999,22.74727397260274
9,0.07025624999999999,21.74076712328767
10,0.07025624999999999,20.43545205479452
11,0.07025624999999999,19.33023287671233
12,0.07025624999999999,18.433205479452056
13,0.07025624999999999,17.823205479452053
14,0.07025624999999999,20.1467397260274
15,0.07025624999999999,20.036
16,0.07025624999999999,19.097109589041093
17,0.07025624999999999,18.559
18,0.07025624999999999,18.297
19,0.07025624999999999,18.297
20,0.07025624999999999,18.297
21,0.06572739726027407,27.024
22,0.08003749999999998,32.50658904109589
23,0.08199374999999999,32.70602739726027
24,0.08199374999999999,28.984698630136982
25,0.08199374999999999,25.662575342465747
26,0.08199374999999999,23.41920547945205
27,0.08199374999999999,21.794835616438352
28,0.08199374999999999,20.508328767123285
29,0.08199374999999999,19.769835616438353
30,0.08199374999999999,19.071
31,0.08199374999999999,18.577
32,0.08199374999999999,18.229753424657535
33,0.08199374999999999,17.919
34,0.08199374999999999,17.642739726027393
35,0.08199374999999999,17.52304109589041
36,0.08199374999999999,17.332753424657533
37,0.08199374999999999,17.180232876712328
38,0.08199374999999999,17.096246575342466
39,0.08199374999999999,17.004
40,0.08199374999999999,16.979
41,0.08199374999999999,16.837780821917807
42,0.08199374999999999,16.741082191780823
43,0.08199374999999999,16.688561643835616
44,0.08199374999999999,16.61494520547945
45,0.08199374999999999,16.525342465753425
46,0.08199374999999999,16.547
47,0.08199374999999999,16.531
48,0.08199374999999999,16.502739726027396
49,0.08199374999999999,16.467986301369862
50,0.08199374999999999,16.502191780821917
51,0.08199374999999999,17.84
52,0.08199374999999999,16.572657534246574
53,0.08199374999999999,16.367136986301368
54,0.08199374999999999,16.261465753424655
55,0.08199374999999999,16.313986301369862
56,0.08199374999999999,16.261
57,0.08199374999999999,16.305561643835617
58,0.08199374999999999,16.253
59,0.08199374999999999,16.213287671232877
60,0.08199374999999999,16.23613698630137
61,0.08199374999999999,16.278
62,0.08199374999999999,16.278
63,0.08199374999999999,16.278
64,0.08199374999999999,16.393
65,0.08199374999999999,16.38735616438356
66,0.08199374999999999,16.321
67,0.08199374999999999,16.27672602739726
68,0.08199374999999999,16.19797260273973
69,0.08199374999999999,16.19672602739726
70,0.08199374999999999,16.181534246575342
71,0.08199374999999999,16.107835616438354
72,0.08199374999999999,16.127
73,0.08199374999999999,16.199
