minute,mass_flow_kg_s,supply_t
0,0.0,27.6
1,0.06623506944444431,30.4
2,0.07221249999999999,26.122222222222224
3,0.07221249999999999,23.333333333333332
4,0.07221249999999999,21.622222222222224
5,0.07221249999999999,20.62777777777778
6,0.07221249999999999,20.0
7,0.07221249999999999,19.7
8,0.07221249999999999,19.444444444444443
9,0.07221249999999999,19.3
10,0.07221249999999999,19.055555555555557
11,0.07221249999999999,18.9
12,0.07221249999999999,18.7
13,0.07221249999999999,18.5
14,0.07221249999999999,18.3
15,0.07221249999999999,18.2
16,0.07221249999999999,18.1
17,0.07221249999999999,18.0
18,0.07221249999999999,17.9
19,0.07221249999999999,17.9
20,0.07221249999999999,17.8
21,0.07221249999999999,17.7
22,0.07221249999999999,17.6
23,0.07221249999999999,17.6
24,0.07221249999999999,17.5
25,0.07221249999999999,17.4
26,0.07221249999999999,17.355555555555554
27,0.07221249999999999,17.3
28,0.07221249999999999,17.4
29,0.07221249999999999,17.4
30,0.07221249999999999,17.366666666666664
31,0.07221249999999999,17.2
32,0.07221249999999999,17.2
33,0.07221249999999999,17.2
34,0.07221249999999999,17.2
35,0.07221249999999999,17.1
36,0.07221249999999999,17.1
37,0.07221249999999999,17.2
38,0.07221249999999999,17.088888888888892
39,0.07221249999999999,17.0
40,0.07221249999999999,17.17777777777778
41,0.07221249999999999,17.1
42,0.07221249999999999,17.1
43,0.07221249999999999,17.2
44,0.07221249999999999,17.1
45,0.07221249999999999,17.1
46,0.07221249999999999,17.1
47,0.07221249999999999,17.0
48,0.07221249999999999,17.0
49,0.07221249999999999,17.072222222222223
50,0.07221249999999999,17.0
51,0.07221249999999999,16.916666666666668
52,0.07221249999999999,16.9
53,0.07221249999999999,17.0
54,0.07221249999999999,17.0
55,0.07221249999999999,17.0
56,0.07221249999999999,16.911111111111108
57,0.07221249999999999,16.9
58,0.07221249999999999,16.977777777777778
59,0.07221249999999999,16.9
60,0.07221249999999999,17.0
61,0.07221249999999999,16.9
62,0.07221249999999999,17.0
63,0.07221249999999999,17.0
64,0.07221249999999999,17.0
65,0.07221249999999999,17.0
66,0.07221249999999999,17.1
67,0.07221249999999999,17.1
68,0.07221249999999999,17.1
69,0.07221249999999999,17.1
70,0.07221249999999999,17.1
71,0.07221249999999999,17.1
72,0.07221249999999999,17.1
