timestamp,outside_t,fan_pct,mixer_pct,mixer_area_cm2,mixer_area_m2,air_velocity_m_s,volumetric_flow_m3_s,mass_flow_kg_s
2026-07-21T07:43:58.340Z,32.295,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:03.380Z,32.325,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:08.345Z,32.313,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:13.344Z,32.361,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:18.343Z,32.373,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:23.354Z,32.382,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:28.346Z,32.396,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:33.339Z,32.412,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:38.344Z,32.412,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:43.344Z,32.424,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:48.340Z,32.409,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:53.344Z,32.389,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:44:58.342Z,32.374,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:03.340Z,32.409,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:08.340Z,32.393,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:13.341Z,32.393,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:18.341Z,32.349,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:23.340Z,32.349,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:28.340Z,32.362,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:33.341Z,32.372,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:38.340Z,32.36,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:43.339Z,32.349,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:48.343Z,32.345,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:53.339Z,32.381,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:45:58.339Z,32.384,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:03.340Z,32.407,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:08.339Z,32.39,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:13.338Z,32.417,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:18.346Z,32.419,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:23.415Z,32.425,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:28.347Z,32.422,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:33.352Z,32.412,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:38.352Z,32.44,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:43.744Z,32.438,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:48.339Z,32.453,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:53.342Z,32.453,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:46:58.754Z,32.491,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:03.751Z,32.491,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:08.744Z,32.479,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:13.741Z,32.502,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:18.339Z,32.492,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:23.342Z,32.487,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:28.750Z,32.509,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:33.747Z,32.477,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:38.751Z,32.469,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:43.749Z,32.443,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:48.744Z,32.464,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:53.742Z,32.428,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:47:58.744Z,32.398,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:03.739Z,32.385,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:08.338Z,32.385,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:13.340Z,32.401,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:18.340Z,32.401,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:23.340Z,32.419,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:28.340Z,32.419,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:33.341Z,32.445,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:38.340Z,32.437,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:43.340Z,32.463,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:48.339Z,32.458,0,0,0,0.0,0.0,0.0,0.0
2026-07-21T07:48:53.338Z,32.449,0,0,0,0.0,0.0,0.0,0.0
