timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,Tz_weighted,RHz_weighted,CO2z_weighted
2026-07-23T08:20:31.201Z,33.2,59.9,440.0,0,1,42,23.6,78.1,,955.1,0,0,25.9,79.2,443.0,0,1,43,,0.0,,0,0,0,26.3,85.1,411.0,0,1,29,24.5,79.1,403.0,0,1,25,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.81,
2026-07-23T08:20:36.201Z,33.2,59.88,437.3,0,1,30,23.6,78.1,,955.1,0,0,25.9,79.2,440.7,0,1,33,,0.0,,0,0,0,26.3,85.1,409.9,0,1,17,24.49,79.25,404.3,0,1,31,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.81,
2026-07-23T08:20:41.202Z,33.21,59.85,436.27,0,1,36,23.6,78.13,,955.1,0,0,25.91,79.16,440.53,0,1,41,,0.0,,0,0,0,26.26,85.0,410.51,0,1,31,24.47,79.48,404.07,0,1,25,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.81,
2026-07-23T08:20:46.201Z,33.22,59.83,435.74,0,1,37,23.6,78.17,,955.1,0,0,25.92,79.11,438.08,0,1,31,,0.0,,0,0,0,26.21,84.86,410.26,0,1,27,24.45,79.74,404.46,0,1,27,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.82,
2026-07-23T08:20:51.203Z,33.23,59.78,440.47,0,1,63,23.6,78.22,,955.1,0,0,25.94,79.05,435.57,0,1,29,,0.0,,0,0,0,26.17,84.73,409.23,0,1,21,24.44,79.97,406.82,0,1,36,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.82,
2026-07-23T08:20:56.201Z,33.23,59.75,443.82,0,1,59,23.6,78.27,,955.1,0,0,25.95,79.0,434.81,0,1,36,,0.0,,0,0,0,26.1,84.48,408.31,0,1,15,24.42,80.24,407.44,0,1,29,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.83,
2026-07-23T08:21:01.203Z,33.24,59.71,444.24,0,1,46,23.6,78.31,,955.1,0,0,25.99,78.92,432.43,0,1,28,,0.0,,0,0,0,26.0,84.11,407.48,0,1,22,24.4,80.5,408.49,0,1,32,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.83,
2026-07-23T08:21:06.200Z,33.26,59.67,445.22,0,1,49,23.6,78.35,,955.1,0,0,26.02,78.85,432.79,0,1,40,,0.0,,0,0,0,25.91,83.78,406.73,0,1,22,24.38,80.74,408.44,0,1,27,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.83,
2026-07-23T08:21:11.200Z,33.27,59.62,445.89,0,1,47,23.6,78.39,,955.1,0,0,26.06,78.75,432.81,0,1,39,,0.0,,0,0,0,25.8,83.31,406.06,0,1,8,24.36,80.98,407.6,0,1,23,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.82,
2026-07-23T08:21:16.200Z,33.28,59.57,445.0,0,1,41,23.6,78.42,,955.1,0,0,26.09,78.63,430.53,0,1,28,,0.0,,0,0,0,25.66,82.73,407.15,0,1,31,24.34,81.19,406.84,0,1,24,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.8,
2026-07-23T08:21:21.200Z,33.3,59.51,449.1,0,2,65,23.6,78.45,,955.1,0,0,26.12,78.51,428.48,0,1,28,,0.0,,0,0,0,25.53,82.21,406.44,0,1,24,24.31,81.38,406.45,0,1,25,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.78,
2026-07-23T08:21:26.201Z,33.31,59.45,460.19,0,2,106,23.6,78.47,,955.1,0,0,26.15,78.41,426.53,0,1,27,,0.0,,0,0,0,25.38,81.58,406.29,0,1,26,24.29,81.54,406.31,0,1,26,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.76,
2026-07-23T08:21:31.205Z,33.32,59.39,468.07,0,2,94,23.6,78.47,,955.1,0,0,26.2,78.23,427.18,0,1,38,,0.0,,0,0,0,25.21,80.88,405.66,0,1,23,24.27,81.68,405.78,0,1,24,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.7,
2026-07-23T08:21:36.205Z,33.32,59.32,472.97,0,2,81,23.6,78.48,,955.1,0,0,26.24,78.07,428.86,0,1,44,,0.0,,0,0,0,25.06,80.25,411.5,0,1,54,24.26,81.8,405.2,0,1,20,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.66,
2026-07-23T08:21:41.205Z,33.33,59.28,474.17,0,1,64,23.6,78.45,,955.0,0,0,26.28,77.87,428.37,0,1,34,,0.0,,0,0,0,24.91,79.72,411.95,0,1,31,24.23,81.89,406.08,0,1,30,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.59,
2026-07-23T08:21:46.206Z,33.35,59.23,476.05,0,2,68,23.6,78.4,,955.2,0,0,26.32,77.65,432.23,0,1,55,,0.0,,0,0,0,24.73,79.05,411.05,0,1,25,24.21,81.93,406.27,0,1,27,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,75,50,0,0,0,0,,62.5,
