timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,m_sa_kgs
2026-07-30T05:05:40.698Z,31.1,68.9,441.0,0,1,42,25.1,77.2,,954.9,0,0,27.8,76.8,417.0,0,1,31,25.5,82.7,488.0,0,2,66,24.2,81.9,444.0,0,1,44,25.6,79.7,412.0,0,1,29,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:05:45.701Z,31.1,68.91,440.6,0,1,40,25.1,77.19,,954.9,0,0,27.81,76.73,415.3,0,1,20,25.48,82.76,488.0,0,2,65313,24.16,82.14,443.8,0,1,43,25.58,79.83,412.1,0,1,29,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:05:50.699Z,31.1,68.93,438.04,0,1,30,25.1,77.18,,954.9,0,0,27.82,76.67,415.87,0,1,33,25.46,82.81,488.0,0,2,66,24.12,82.36,442.52,0,1,38,25.56,79.95,412.49,0,1,31,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:05:55.723Z,31.1,68.94,439.24,0,1,47,25.1,77.13,,954.9,0,0,27.84,76.56,418.18,0,1,41,25.44,82.88,488.0,0,2,66,24.07,82.6,439.17,0,1,28,25.54,80.09,411.84,0,1,26,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:06:00.733Z,31.1,68.93,442.31,0,1,57,25.1,77.07,,954.9,0,0,27.85,76.44,417.36,0,1,28,25.4,82.96,488.0,0,2,66,24.0,82.82,436.25,0,1,28,25.5,80.26,412.06,0,1,30,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:06:05.698Z,31.1,68.91,441.68,0,1,40,25.1,77.0,,954.8,0,0,27.88,76.29,417.33,0,1,31,25.36,83.04,488.0,0,2,66,23.92,82.98,434.23,0,1,31,25.47,80.44,412.25,0,1,30,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:06:10.700Z,31.1,68.86,442.81,0,1,48,25.1,76.93,,954.8,0,0,27.9,76.11,415.9,0,1,25,25.33,83.1,488.0,0,2,66,23.85,83.12,430.8,0,1,22,25.44,80.59,411.03,0,1,24,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:06:15.699Z,31.1,68.79,441.23,0,1,36,25.1,76.87,,954.8,0,0,27.93,75.92,417.41,0,1,38,25.29,79.0,488.0,0,2,66,23.73,83.06,427.72,0,1,17,25.4,80.73,411.82,0,1,32,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:06:20.700Z,31.09,68.73,440.01,0,1,37,25.1,76.81,,954.8,0,0,27.96,75.75,418.07,0,1,34,25.25,75.31,488.0,0,2,66,23.61,83.0,424.95,0,1,20,25.36,80.86,411.34,0,1,27,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
2026-07-30T05:06:25.699Z,31.08,68.68,439.01,0,1,37,25.1,76.73,,954.9,0,0,27.97,75.55,420.16,0,1,41,25.22,76.12,488.0,0,2,66,23.48,82.83,423.76,0,1,30,25.32,80.97,411.41,0,1,29,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,40,50,0,0,0,0,0.0593
