timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,T_z_weighted,RH_z_weighted,CO2_z_weighted,m_sa_kgs
2026-07-31T03:30:33.154Z,28.6,76.5,455.0,0,1,49,24.6,75.9,,955.4,0,0,28.2,70.0,406.0,0,1,26,,,,0,0,0,19.9,70.3,423.0,0,1,34,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.53999999999999,406.0,0.0615814991956671
2026-07-31T03:30:38.202Z,28.6,76.44000000000001,452.4,0,1,37,24.6,75.9,,955.4,0,0,28.2,70.0,405.40000000000003,0,1,21,,,,0,0,0,19.9,70.3,423.5,0,1,36,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.53999999999999,405.40000000000003,0.0615814991956671
2026-07-31T03:30:43.153Z,28.6,76.316,450.05999999999995,0,1,37,24.6,75.87,,955.4,0,0,28.2,69.98,406.56,0,1,31,,,,0,0,0,19.9,70.3,423.95000000000005,0,1,36,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.51400000000001,406.56,0.0615814991956671
2026-07-31T03:30:48.153Z,28.6,76.1744,449.354,0,1,43,24.6,75.813,,955.4,0,0,28.2,69.912,406.904,0,1,28,,,,0,0,0,19.89,70.32,425.6550000000001,0,1,42,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.4526,406.904,0.0615814991956671
2026-07-31T03:30:53.154Z,28.6,76.06696000000001,446.61859999999996,0,1,33,24.6,75.7317,,955.5,0,0,28.2,69.8208,406.3136,0,1,24,,,,0,0,0,19.871,70.348,426.1895000000001,0,1,38,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.36734,406.3136,0.0615814991956671
2026-07-31T03:30:58.153Z,28.6,75.94026400000001,443.65673999999996,0,1,31,24.6,75.62853,,955.4,0,0,28.2,69.71872,406.08224000000007,0,1,26,,,,0,0,0,19.8439,70.3732,425.9705500000001,0,1,34,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.264606,406.08224000000007,0.0615814991956671
2026-07-31T03:31:03.153Z,28.6,75.8062376,442.691066,0,1,39,24.6,75.53567699999999,,955.4,0,0,28.2,69.62684800000001,408.97401600000006,0,1,40,,,,0,0,0,19.81951,70.39587999999999,426.27349500000014,0,1,37,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.1721454,408.97401600000006,0.0615814991956671
2026-07-31T03:31:08.153Z,28.6,75.68561384,441.5219594,0,1,37,24.6,75.44210929999998,,955.4,0,0,28.2,69.53416320000001,410.7766144,0,1,36,,,,0,0,0,19.787559,70.416292,425.64614550000016,0,1,32,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,73.07893086,410.7766144,0.0615814991956671
2026-07-31T03:31:13.153Z,28.6,75.62705245600002,438.16976346,0,1,27,24.6,75.29789837,,955.4,0,0,28.2,69.40074688000001,409.69895296000004,0,1,20,,,,0,0,0,19.748803100000003,70.4446628,424.28153095000016,0,1,29,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,72.939037774,409.69895296000004,0.0615814991956671
2026-07-31T03:31:18.159Z,28.6,75.55434721040001,435.352787114,0,1,28,24.6,75.16810853300001,,955.4,0,0,28.2,69.28067219200001,409.129057664,0,1,25,,,,0,0,0,19.713922790000005,70.47019652,423.45337785500016,0,1,31,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,26.04,72.81313399660002,409.129057664,0.0615814991956671
